random_id,participant_id,trial_type,trial_index,trial_number,time_elapsed,rt,stimulus,response,question_order,correct_key,correct,object_num,angle,correct_response,correct_response_key,age,year,major,minor,gender,about,difficulties,trial_kind
p059dy6tho6,turtle,html-keyboard-response,12,1,80701,3946,"<img src=""stimuli/2_50_R.jpg"">",j,NA,j,TRUE,NA,NA,NA,NA,22,4th year,Language & Culture,,Woman,spatial reasoning,no,practice
p059dy6tho6,turtle,html-keyboard-response,14,2,84289,2334,"<img src=""stimuli/2_150_R.jpg"">",f,NA,j,FALSE,NA,NA,NA,NA,22,4th year,Language & Culture,,Woman,spatial reasoning,no,practice
p059dy6tho6,turtle,html-keyboard-response,16,3,87696,2152,"<img src=""stimuli/2_0.jpg"">",f,NA,f,TRUE,NA,NA,NA,NA,22,4th year,Language & Culture,,Woman,spatial reasoning,no,practice
p059dy6tho6,turtle,html-keyboard-response,18,4,92112,3162,"<img src=""stimuli/1_100_R.jpg"">",f,NA,j,FALSE,NA,NA,NA,NA,22,4th year,Language & Culture,,Woman,spatial reasoning,no,practice
p059dy6tho6,turtle,html-keyboard-response,20,5,94833,1467,"<img src=""stimuli/1_50.jpg"">",f,NA,f,TRUE,NA,NA,NA,NA,22,4th year,Language & Culture,,Woman,spatial reasoning,no,practice
p059dy6tho6,turtle,html-keyboard-response,22,6,98114,2026,"<img src=""stimuli/1_0_R.jpg"">",j,NA,j,TRUE,NA,NA,NA,NA,22,4th year,Language & Culture,,Woman,spatial reasoning,no,practice
p059dy6tho6,turtle,html-keyboard-response,24,7,101742,2373,"<img src=""stimuli/1_150.jpg"">",f,NA,f,TRUE,NA,NA,NA,NA,22,4th year,Language & Culture,,Woman,spatial reasoning,no,practice
p059dy6tho6,turtle,html-keyboard-response,26,8,104560,1563,"<img src=""stimuli/2_100.jpg"">",f,NA,f,TRUE,NA,NA,NA,NA,22,4th year,Language & Culture,,Woman,spatial reasoning,no,practice
p059dy6tho6,turtle,image-keyboard-response,29,1,112196,1539,stimuli/30_50_R.jpg,f,NA,NA,FALSE,30,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,31,2,115799,2162,stimuli/35_0.jpg,f,NA,NA,TRUE,35,0,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
