"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","7874","p41m316dkys","goldfish","","","","","","","","","",""
"true","","","","","fullscreen","1","null","10533","p41m316dkys","goldfish","1655","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","12013","p41m316dkys","goldfish","1479","Welcome to the experiment. Press any key to begin.","h","","","","","","",""
"","","","","","survey-text","3","2.0.0","15624","p41m316dkys","goldfish","3609","","{""participant_id"":""goldfish""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","52008","p41m316dkys","goldfish","36383","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","91422","p41m316dkys","goldfish","39411","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","95963","p41m316dkys","goldfish","4540","<p><font color='green'>All correct! Press any key to continue.</font></p>","n","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","99139","p41m316dkys","goldfish","3174","There will be 8 practice trials before the real experiment. Press any key to begin.","f","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","103688","p41m316dkys","goldfish","4547","<img src=""stimuli/1_50.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","10","2.0.0","104691","p41m316dkys","goldfish","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","107814","p41m316dkys","goldfish","2870","<img src=""stimuli/2_100.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","12","2.0.0","108816","p41m316dkys","goldfish","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","112265","p41m316dkys","goldfish","3195","<img src=""stimuli/1_0_R.jpg"">","f","","j","false","","","",""
"","","","","","html-keyboard-response","14","2.0.0","113268","p41m316dkys","goldfish","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","115714","p41m316dkys","goldfish","2193","<img src=""stimuli/2_150_R.jpg"">","f","","j","false","","","",""
"","","","","","html-keyboard-response","16","2.0.0","116717","p41m316dkys","goldfish","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","120030","p41m316dkys","goldfish","3061","<img src=""stimuli/1_150.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","18","2.0.0","121032","p41m316dkys","goldfish","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","125583","p41m316dkys","goldfish","4298","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","20","2.0.0","126584","p41m316dkys","goldfish","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","128230","p41m316dkys","goldfish","1393","<img src=""stimuli/2_0.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","22","2.0.0","129233","p41m316dkys","goldfish","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","133196","p41m316dkys","goldfish","3711","<img src=""stimuli/1_100_R.jpg"">","f","","j","false","","","",""
"","","","","","html-keyboard-response","24","2.0.0","134199","p41m316dkys","goldfish","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","141307","p41m316dkys","goldfish","6856","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin."," ","","","","","","",""
"","","","","","image-keyboard-response","26","2.0.0","146923","p41m316dkys","goldfish","5611","stimuli/20_100_R.jpg","j","","","true","20","100","different","j"
"","","","","","image-keyboard-response","28","2.0.0","153096","p41m316dkys","goldfish","5814","stimuli/16_150_R.jpg","j","","","true","16","150","different","j"
"","","","","","image-keyboard-response","30","2.0.0","155191","p41m316dkys","goldfish","1736","stimuli/24_50.jpg","f","","","true","24","50","same","f"
"","","","","","image-keyboard-response","32","2.0.0","158296","p41m316dkys","goldfish","2746","stimuli/39_0_R.jpg","j","","","true","39","0","different","j"
"","","","","","image-keyboard-response","34","2.0.0","165541","p41m316dkys","goldfish","6887","stimuli/10_150_R.jpg","j","","","true","10","150","different","j"
"","","","","","image-keyboard-response","36","2.0.0","171305","p41m316dkys","goldfish","5405","stimuli/26_150.jpg","f","","","true","26","150","same","f"
"","","","","","image-keyboard-response","38","2.0.0","174354","p41m316dkys","goldfish","2690","stimuli/30_150.jpg","f","","","true","30","150","same","f"
"","","","","","image-keyboard-response","40","2.0.0","178061","p41m316dkys","goldfish","3348","stimuli/33_100.jpg","f","","","true","33","100","same","f"
"","","","","","image-keyboard-response","42","2.0.0","181529","p41m316dkys","goldfish","3109","stimuli/22_0_R.jpg","j","","","true","22","0","different","j"
"","","","","","image-keyboard-response","44","2.0.0","186172","p41m316dkys","goldfish","4285","stimuli/8_50_R.jpg","j","","","true","8","50","different","j"
"","","","","","image-keyboard-response","46","2.0.0","187487","p41m316dkys","goldfish","957","stimuli/6_0.jpg","f","","","true","6","0","same","f"
"","","","","","image-keyboard-response","48","2.0.0","190370","p41m316dkys","goldfish","2525","stimuli/31_0_R.jpg","j","","","true","31","0","different","j"
"","","","","","image-keyboard-response","50","2.0.0","192873","p41m316dkys","goldfish","2144","stimuli/26_0_R.jpg","j","","","true","26","0","different","j"
"","","","","","image-keyboard-response","52","2.0.0","196443","p41m316dkys","goldfish","3211","stimuli/11_150_R.jpg","j","","","true","11","150","different","j"
"","","","","","image-keyboard-response","54","2.0.0","202223","p41m316dkys","goldfish","5422","stimuli/17_100.jpg","f","","","true","17","100","same","f"
"","","","","","image-keyboard-response","56","2.0.0","206873","p41m316dkys","goldfish","4291","stimuli/48_100.jpg","f","","","true","48","100","same","f"
"","","","","","image-keyboard-response","58","2.0.0","210948","p41m316dkys","goldfish","3716","stimuli/6_0_R.jpg","j","","","true","6","0","different","j"
"","","","","","image-keyboard-response","60","2.0.0","213875","p41m316dkys","goldfish","2569","stimuli/10_100_R.jpg","j","","","true","10","100","different","j"
"","","","","","image-keyboard-response","62","2.0.0","216200","p41m316dkys","goldfish","1966","stimuli/17_0.jpg","f","","","true","17","0","same","f"
"","","","","","image-keyboard-response","64","2.0.0","218013","p41m316dkys","goldfish","1455","stimuli/28_50_R.jpg","j","","","true","28","50","different","j"
"","","","","","image-keyboard-response","66","2.0.0","223128","p41m316dkys","goldfish","4757","stimuli/23_50.jpg","f","","","true","23","50","same","f"
"","","","","","image-keyboard-response","68","2.0.0","229867","p41m316dkys","goldfish","6380","stimuli/18_100_R.jpg","j","","","true","18","100","different","j"
"","","","","","image-keyboard-response","70","2.0.0","236565","p41m316dkys","goldfish","6339","stimuli/24_100.jpg","f","","","true","24","100","same","f"
"","","","","","image-keyboard-response","72","2.0.0","240864","p41m316dkys","goldfish","3941","stimuli/45_150.jpg","f","","","true","45","150","same","f"
"","","","","","image-keyboard-response","74","2.0.0","244299","p41m316dkys","goldfish","3076","stimuli/23_100_R.jpg","j","","","true","23","100","different","j"
"","","","","","image-keyboard-response","76","2.0.0","249621","p41m316dkys","goldfish","4962","stimuli/7_50.jpg","f","","","true","7","50","same","f"
"","","","","","image-keyboard-response","78","2.0.0","252626","p41m316dkys","goldfish","2646","stimuli/16_150.jpg","f","","","true","16","150","same","f"
"","","","","","image-keyboard-response","80","2.0.0","254957","p41m316dkys","goldfish","1972","stimuli/10_0_R.jpg","j","","","true","10","0","different","j"
"","","","","","image-keyboard-response","82","2.0.0","257318","p41m316dkys","goldfish","2002","stimuli/37_50_R.jpg","f","","","false","37","50","different","j"
"","","","","","html-keyboard-response","83","2.0.0","258677","p41m316dkys","goldfish","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","84","2.0.0","260759","p41m316dkys","goldfish","2080","stimuli/32_0.jpg","f","","","true","32","0","same","f"
"","","","","","image-keyboard-response","86","2.0.0","264389","p41m316dkys","goldfish","3270","stimuli/13_150_R.jpg","j","","","true","13","150","different","j"
"","","","","","image-keyboard-response","88","2.0.0","268270","p41m316dkys","goldfish","3523","stimuli/47_50.jpg","f","","","true","47","50","same","f"
"","","","","","image-keyboard-response","90","2.0.0","271242","p41m316dkys","goldfish","2613","stimuli/19_100_R.jpg","j","","","true","19","100","different","j"
"","","","","","image-keyboard-response","92","2.0.0","277315","p41m316dkys","goldfish","5715","stimuli/9_100.jpg","f","","","true","9","100","same","f"
"","","","","","image-keyboard-response","94","2.0.0","280502","p41m316dkys","goldfish","2829","stimuli/29_0_R.jpg","j","","","true","29","0","different","j"
