"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","1200","p5xkm6nh5ea","swan","","","","","","","","","",""
"true","","","","","fullscreen","1","null","4291","p5xkm6nh5ea","swan","2088","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","5129","p5xkm6nh5ea","swan","836","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","7977","p5xkm6nh5ea","swan","2845","","{""participant_id"":""swan""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","16014","p5xkm6nh5ea","swan","8037","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","f","","","","","","",""
"","","","","","survey-multi-choice","5","null","36694","p5xkm6nh5ea","swan","20676","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","38842","p5xkm6nh5ea","swan","2146","<p><font color='green'>All correct! Press any key to continue.</font></p>","f","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","40087","p5xkm6nh5ea","swan","1244","There will be 8 practice trials before the real experiment. Press any key to begin.","f","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","44959","p5xkm6nh5ea","swan","4870","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","10","2.0.0","45962","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","51966","p5xkm6nh5ea","swan","5751","<img src=""stimuli/1_150.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","12","2.0.0","52968","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","55241","p5xkm6nh5ea","swan","2021","<img src=""stimuli/2_100.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","56244","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","61563","p5xkm6nh5ea","swan","5066","<img src=""stimuli/1_50.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","16","2.0.0","62565","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","64264","p5xkm6nh5ea","swan","1446","<img src=""stimuli/2_0.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","18","2.0.0","65266","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","71321","p5xkm6nh5ea","swan","5802","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","20","2.0.0","72323","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","75821","p5xkm6nh5ea","swan","3246","<img src=""stimuli/1_100_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","22","2.0.0","76823","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","80335","p5xkm6nh5ea","swan","3260","<img src=""stimuli/2_150_R.jpg"">","f","","j","false","","","",""
"","","","","","html-keyboard-response","24","2.0.0","81337","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","84562","p5xkm6nh5ea","swan","2973","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin.","j","","","","","","",""
"","","","","","image-keyboard-response","26","2.0.0","88073","p5xkm6nh5ea","swan","3508","stimuli/7_150.jpg","j","","","false","7","150","same","f"
"","","","","","html-keyboard-response","27","2.0.0","89363","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","28","2.0.0","92308","p5xkm6nh5ea","swan","2943","stimuli/25_100_R.jpg","f","","","false","25","100","different","j"
"","","","","","html-keyboard-response","29","2.0.0","93597","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","30","2.0.0","96773","p5xkm6nh5ea","swan","3174","stimuli/18_100_R.jpg","j","","","true","18","100","different","j"
"","","","","","image-keyboard-response","32","2.0.0","100139","p5xkm6nh5ea","swan","3076","stimuli/10_100_R.jpg","j","","","true","10","100","different","j"
"","","","","","image-keyboard-response","34","2.0.0","104407","p5xkm6nh5ea","swan","3979","stimuli/21_100.jpg","j","","","false","21","100","same","f"
"","","","","","html-keyboard-response","35","2.0.0","105696","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","36","2.0.0","107842","p5xkm6nh5ea","swan","2144","stimuli/37_0_R.jpg","f","","","false","37","0","different","j"
"","","","","","html-keyboard-response","37","2.0.0","109130","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","38","2.0.0","111254","p5xkm6nh5ea","swan","2121","stimuli/41_0.jpg","f","","","true","41","0","same","f"
"","","","","","image-keyboard-response","40","2.0.0","114620","p5xkm6nh5ea","swan","3078","stimuli/32_50_R.jpg","j","","","true","32","50","different","j"
"","","","","","image-keyboard-response","42","2.0.0","118590","p5xkm6nh5ea","swan","3681","stimuli/14_100.jpg","f","","","true","14","100","same","f"
"","","","","","image-keyboard-response","44","2.0.0","120201","p5xkm6nh5ea","swan","1322","stimuli/15_0.jpg","f","","","true","15","0","same","f"
"","","","","","image-keyboard-response","46","2.0.0","123813","p5xkm6nh5ea","swan","3323","stimuli/41_50.jpg","f","","","true","41","50","same","f"
"","","","","","image-keyboard-response","48","2.0.0","125960","p5xkm6nh5ea","swan","1859","stimuli/21_100_R.jpg","f","","","false","21","100","different","j"
"","","","","","html-keyboard-response","49","2.0.0","127249","p5xkm6nh5ea","swan","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","50","2.0.0","129064","p5xkm6nh5ea","swan","1813","stimuli/41_0_R.jpg","j","","","true","41","0","different","j"
"","","","","","image-keyboard-response","52","2.0.0","136364","p5xkm6nh5ea","swan","7011","stimuli/43_150.jpg","f","","","true","43","150","same","f"
"","","","","","image-keyboard-response","54","2.0.0","137979","p5xkm6nh5ea","swan","1325","stimuli/42_50_R.jpg","j","","","true","42","50","different","j"
