"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","2428","p7m67l17tja","squirrel","","","","","","","","","",""
"true","","","","","fullscreen","1","null","4669","p7m67l17tja","squirrel","1234","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","6032","p7m67l17tja","squirrel","1360","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","9112","p7m67l17tja","squirrel","3074","","{""participant_id"":""squirrel""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","13813","p7m67l17tja","squirrel","4700","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","40395","p7m67l17tja","squirrel","26579","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","42248","p7m67l17tja","squirrel","1850","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","43202","p7m67l17tja","squirrel","952","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","47865","p7m67l17tja","squirrel","4661","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","10","2.0.0","48874","p7m67l17tja","squirrel","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","54173","p7m67l17tja","squirrel","5035","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","12","2.0.0","55178","p7m67l17tja","squirrel","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","58763","p7m67l17tja","squirrel","3328","<img src=""stimuli/1_150.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","59772","p7m67l17tja","squirrel","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
