"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","1247","p9dcxe8awf5","lemur","","","","","","","","","",""
"true","","","","","fullscreen","1","null","45999044","p9dcxe8awf5","lemur","35599520","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","45999887","p9dcxe8awf5","lemur","841","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","46001323","p9dcxe8awf5","lemur","1426","","{""participant_id"":""lemur""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","46024776","p9dcxe8awf5","lemur","23450","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","j","","","","","","",""
"","","","","","survey-multi-choice","5","null","46049001","p9dcxe8awf5","lemur","24222","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","46050494","p9dcxe8awf5","lemur","1489","<p><font color='green'>All correct! Press any key to continue.</font></p>","j","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","46053078","p9dcxe8awf5","lemur","2582","There will be 8 practice trials before the real experiment. Press any key to begin.","f","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","46055849","p9dcxe8awf5","lemur","2768","<img src=""stimuli/2_150_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","10","2.0.0","46056852","p9dcxe8awf5","lemur","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","46058762","p9dcxe8awf5","lemur","1655","<img src=""stimuli/1_50.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","12","2.0.0","46059764","p9dcxe8awf5","lemur","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","46064039","p9dcxe8awf5","lemur","4021","<img src=""stimuli/1_100_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","46065042","p9dcxe8awf5","lemur","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","46069367","p9dcxe8awf5","lemur","4070","<img src=""stimuli/1_150.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","16","2.0.0","46070370","p9dcxe8awf5","lemur","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","46072001","p9dcxe8awf5","lemur","1377","<img src=""stimuli/2_50_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","18","2.0.0","46073002","p9dcxe8awf5","lemur","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","46074701","p9dcxe8awf5","lemur","1444","<img src=""stimuli/2_100.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","20","2.0.0","46075704","p9dcxe8awf5","lemur","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","46077327","p9dcxe8awf5","lemur","1371","<img src=""stimuli/2_0.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","22","2.0.0","46078329","p9dcxe8awf5","lemur","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","46079786","p9dcxe8awf5","lemur","1204","<img src=""stimuli/1_0_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","24","2.0.0","46080789","p9dcxe8awf5","lemur","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","46086997","p9dcxe8awf5","lemur","5954","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin.","j","","","","","","",""
"","","","","","image-keyboard-response","26","2.0.0","46088391","p9dcxe8awf5","lemur","1385","stimuli/24_0.jpg","f","","","false","24","0","same","j"
"","","","","","html-keyboard-response","27","2.0.0","46089849","p9dcxe8awf5","lemur","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
