"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","14","p9tg17juogv","lynx","","","","","","","","","",""
"true","","","","","fullscreen","1","null","13975","p9tg17juogv","lynx","12959","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","15253","p9tg17juogv","lynx","1275","Welcome to the experiment. Press any key to begin.","q","","","","","","",""
"","","","","","survey-text","3","2.0.0","17673","p9tg17juogv","lynx","2416","","{""participant_id"":""lynx""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","77086","p9tg17juogv","lynx","59412","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","j","","","","","","",""
"","","","","","survey-multi-choice","5","null","131350","p9tg17juogv","lynx","54260","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","139619","p9tg17juogv","lynx","8267","<p><font color='green'>All correct! Press any key to continue.</font></p>","f","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","155829","p9tg17juogv","lynx","16209","There will be 8 practice trials before the real experiment. Press any key to begin.","f","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","163473","p9tg17juogv","lynx","7641","<img src=""stimuli/2_50_R.jpg"">","f","","j","false","","","",""
"","","","","","html-keyboard-response","10","2.0.0","164477","p9tg17juogv","lynx","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","167281","p9tg17juogv","lynx","2550","<img src=""stimuli/2_150_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","12","2.0.0","168284","p9tg17juogv","lynx","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","170268","p9tg17juogv","lynx","1730","<img src=""stimuli/2_0.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","171271","p9tg17juogv","lynx","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","175680","p9tg17juogv","lynx","4157","<img src=""stimuli/1_100_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","16","2.0.0","176683","p9tg17juogv","lynx","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","178959","p9tg17juogv","lynx","2023","<img src=""stimuli/1_150.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","18","2.0.0","179961","p9tg17juogv","lynx","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","182585","p9tg17juogv","lynx","2370","<img src=""stimuli/1_50.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","20","2.0.0","183588","p9tg17juogv","lynx","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","185275","p9tg17juogv","lynx","1433","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","22","2.0.0","186279","p9tg17juogv","lynx","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","188385","p9tg17juogv","lynx","1853","<img src=""stimuli/2_100.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","24","2.0.0","189388","p9tg17juogv","lynx","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","204791","p9tg17juogv","lynx","15150","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin.","f","","","","","","",""
"","","","","","image-keyboard-response","26","2.0.0","207662","p9tg17juogv","lynx","2867","stimuli/6_150.jpg","j","","","false","6","150","same","f"
"","","","","","html-keyboard-response","27","2.0.0","208986","p9tg17juogv","lynx","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","28","2.0.0","210722","p9tg17juogv","lynx","1733","stimuli/33_50_R.jpg","j","","","true","33","50","different","j"
