"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","6279","pbjvepzadtn","penguin","","","","","","","","","",""
"true","","","","","fullscreen","1","null","66191","pbjvepzadtn","penguin","58903","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","67609","pbjvepzadtn","penguin","1416","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","71495","pbjvepzadtn","penguin","3880","","{""participant_id"":""penguin""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","155932","pbjvepzadtn","penguin","84435","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","209446","pbjvepzadtn","penguin","53507","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","211793","pbjvepzadtn","penguin","2343","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","216815","pbjvepzadtn","penguin","5021","There will be 8 practice trials before the real experiment. Press any key to begin.","f","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","219065","pbjvepzadtn","penguin","2247","<img src=""stimuli/1_150.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","10","2.0.0","220069","pbjvepzadtn","penguin","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","223908","pbjvepzadtn","penguin","3586","<img src=""stimuli/2_100.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","12","2.0.0","224910","pbjvepzadtn","penguin","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","226973","pbjvepzadtn","penguin","1810","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","227975","pbjvepzadtn","penguin","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","230430","pbjvepzadtn","penguin","2202","<img src=""stimuli/2_0.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","16","2.0.0","231433","pbjvepzadtn","penguin","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","233877","pbjvepzadtn","penguin","2191","<img src=""stimuli/1_50.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","18","2.0.0","234880","pbjvepzadtn","penguin","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","239777","pbjvepzadtn","penguin","4644","<img src=""stimuli/2_150_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","20","2.0.0","240778","pbjvepzadtn","penguin","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","243933","pbjvepzadtn","penguin","2903","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","22","2.0.0","244936","pbjvepzadtn","penguin","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","248229","pbjvepzadtn","penguin","3040","<img src=""stimuli/1_100_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","24","2.0.0","249232","pbjvepzadtn","penguin","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","268084","pbjvepzadtn","penguin","18598","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin.","f","","","","","","",""
"","","","","","image-keyboard-response","26","2.0.0","271385","pbjvepzadtn","penguin","3291","stimuli/26_0_R.jpg","j","","","true","26","0","different","j"
"","","","","","image-keyboard-response","28","2.0.0","275256","pbjvepzadtn","penguin","3429","stimuli/44_50_R.jpg","j","","","true","44","50","different","j"
