"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","2621","pc854e34m9p","frog","","","","","","","","","",""
"true","","","","","fullscreen","1","null","6455","pc854e34m9p","frog","2830","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","12576","pc854e34m9p","frog","6119","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","18457","pc854e34m9p","frog","5876","","{""participant_id"":""frog""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","31321","pc854e34m9p","frog","12862","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","64136","pc854e34m9p","frog","32811","","{""same_definition"":""The objects are the same size."",""different_definition"":""The objects are different sizes."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Focus only on speed.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","68075","pc854e34m9p","frog","3937","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","80273","pc854e34m9p","frog","12196","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","8","null","103272","pc854e34m9p","frog","22995","","{""same_definition"":""The objects are the same size."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","105531","pc854e34m9p","frog","2257","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","164463","pc854e34m9p","frog","58929","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","11","null","182955","pc854e34m9p","frog","18489","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","184790","pc854e34m9p","frog","1833","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","194507","pc854e34m9p","frog","9714","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","14","null","210724","pc854e34m9p","frog","16214","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","211823","pc854e34m9p","frog","1097","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","221675","pc854e34m9p","frog","9849","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","17","null","229257","pc854e34m9p","frog","7579","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","230610","pc854e34m9p","frog","1351","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","234869","pc854e34m9p","frog","4257","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","251682","pc854e34m9p","frog","16811","<img src=""stimuli/2_50_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","22","2.0.0","252685","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","259334","pc854e34m9p","frog","6394","<img src=""stimuli/1_50.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","24","2.0.0","260336","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","263959","pc854e34m9p","frog","3369","<img src=""stimuli/2_100.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","26","2.0.0","264962","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","27","2.0.0","268286","pc854e34m9p","frog","3070","<img src=""stimuli/1_150.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","28","2.0.0","269288","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","29","2.0.0","274303","pc854e34m9p","frog","4761","<img src=""stimuli/1_100_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","30","2.0.0","275307","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","31","2.0.0","280785","pc854e34m9p","frog","5225","<img src=""stimuli/1_0_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","32","2.0.0","281787","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","33","2.0.0","285300","pc854e34m9p","frog","3260","<img src=""stimuli/2_0.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","34","2.0.0","286303","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","35","2.0.0","289676","pc854e34m9p","frog","3120","<img src=""stimuli/2_150_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","36","2.0.0","290679","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","37","2.0.0","297458","pc854e34m9p","frog","6527","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin."," ","","","","","","",""
"","","","","","image-keyboard-response","38","2.0.0","300109","pc854e34m9p","frog","2646","stimuli/8_150_R.jpg","f","","","true","8","150","different","f"
"","","","","","image-keyboard-response","40","2.0.0","303305","pc854e34m9p","frog","2936","stimuli/31_0_R.jpg","f","","","true","31","0","different","f"
"","","","","","image-keyboard-response","42","2.0.0","306088","pc854e34m9p","frog","2525","stimuli/5_100.jpg","j","","","true","5","100","same","j"
"","","","","","image-keyboard-response","44","2.0.0","309633","pc854e34m9p","frog","3288","stimuli/46_0_R.jpg","j","","","false","46","0","different","f"
"","","","","","html-keyboard-response","45","2.0.0","310892","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","46","2.0.0","313643","pc854e34m9p","frog","2748","stimuli/8_100.jpg","f","","","false","8","100","same","j"
"","","","","","html-keyboard-response","47","2.0.0","314901","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","48","2.0.0","319117","pc854e34m9p","frog","4213","stimuli/4_0_R.jpg","f","","","true","4","0","different","f"
"","","","","","image-keyboard-response","50","2.0.0","320810","pc854e34m9p","frog","1434","stimuli/33_0.jpg","j","","","true","33","0","same","j"
"","","","","","image-keyboard-response","52","2.0.0","325492","pc854e34m9p","frog","4424","stimuli/6_150.jpg","f","","","false","6","150","same","j"
"","","","","","html-keyboard-response","53","2.0.0","326752","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","54","2.0.0","329933","pc854e34m9p","frog","3179","stimuli/5_150.jpg","j","","","true","5","150","same","j"
"","","","","","image-keyboard-response","56","2.0.0","335734","pc854e34m9p","frog","5541","stimuli/22_100_R.jpg","f","","","true","22","100","different","f"
"","","","","","image-keyboard-response","58","2.0.0","339181","pc854e34m9p","frog","3189","stimuli/10_100_R.jpg","f","","","true","10","100","different","f"
"","","","","","image-keyboard-response","60","2.0.0","342339","pc854e34m9p","frog","2898","stimuli/17_0_R.jpg","f","","","true","17","0","different","f"
"","","","","","image-keyboard-response","62","2.0.0","345230","pc854e34m9p","frog","2633","stimuli/6_0.jpg","j","","","true","6","0","same","j"
"","","","","","image-keyboard-response","64","2.0.0","349326","pc854e34m9p","frog","3837","stimuli/30_150_R.jpg","j","","","false","30","150","different","f"
"","","","","","html-keyboard-response","65","2.0.0","350585","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","66","2.0.0","353923","pc854e34m9p","frog","3336","stimuli/39_50_R.jpg","f","","","true","39","50","different","f"
"","","","","","image-keyboard-response","68","2.0.0","356376","pc854e34m9p","frog","2196","stimuli/39_150.jpg","j","","","true","39","150","same","j"
"","","","","","image-keyboard-response","70","2.0.0","359021","pc854e34m9p","frog","2387","stimuli/2_0_R.jpg","f","","","true","2","0","different","f"
"","","","","","image-keyboard-response","72","2.0.0","363504","pc854e34m9p","frog","4225","stimuli/36_0_R.jpg","f","","","true","36","0","different","f"
"","","","","","image-keyboard-response","74","2.0.0","370160","pc854e34m9p","frog","6397","stimuli/27_100.jpg","j","","","true","27","100","same","j"
"","","","","","image-keyboard-response","76","2.0.0","373410","pc854e34m9p","frog","2992","stimuli/18_150.jpg","j","","","true","18","150","same","j"
"","","","","","image-keyboard-response","78","2.0.0","375194","pc854e34m9p","frog","1526","stimuli/21_50_R.jpg","f","","","true","21","50","different","f"
"","","","","","image-keyboard-response","80","2.0.0","378460","pc854e34m9p","frog","3009","stimuli/22_100.jpg","j","","","true","22","100","same","j"
"","","","","","image-keyboard-response","82","2.0.0","380777","pc854e34m9p","frog","2059","stimuli/5_0.jpg","j","","","true","5","0","same","j"
"","","","","","image-keyboard-response","84","2.0.0","382252","pc854e34m9p","frog","1217","stimuli/41_0_R.jpg","f","","","true","41","0","different","f"
"","","","","","image-keyboard-response","86","2.0.0","385127","pc854e34m9p","frog","2617","stimuli/38_50.jpg","j","","","true","38","50","same","j"
"","","","","","image-keyboard-response","88","2.0.0","386994","pc854e34m9p","frog","1608","stimuli/14_0.jpg","j","","","true","14","0","same","j"
"","","","","","image-keyboard-response","90","2.0.0","389826","pc854e34m9p","frog","2574","stimuli/18_100.jpg","j","","","true","18","100","same","j"
"","","","","","image-keyboard-response","92","2.0.0","395051","pc854e34m9p","frog","4966","stimuli/9_150_R.jpg","f","","","true","9","150","different","f"
"","","","","","image-keyboard-response","94","2.0.0","396611","pc854e34m9p","frog","1301","stimuli/13_0.jpg","j","","","true","13","0","same","j"
"","","","","","image-keyboard-response","96","2.0.0","399916","pc854e34m9p","frog","3048","stimuli/37_100.jpg","j","","","true","37","100","same","j"
"","","","","","image-keyboard-response","98","2.0.0","403468","pc854e34m9p","frog","3294","stimuli/15_150_R.jpg","f","","","true","15","150","different","f"
"","","","","","image-keyboard-response","100","2.0.0","404794","pc854e34m9p","frog","1067","stimuli/8_0.jpg","j","","","true","8","0","same","j"
"","","","","","image-keyboard-response","102","2.0.0","407122","pc854e34m9p","frog","2070","stimuli/11_0_R.jpg","f","","","true","11","0","different","f"
"","","","","","image-keyboard-response","104","2.0.0","410198","pc854e34m9p","frog","2817","stimuli/34_150_R.jpg","f","","","true","34","150","different","f"
"","","","","","image-keyboard-response","106","2.0.0","412340","pc854e34m9p","frog","1884","stimuli/16_100_R.jpg","f","","","true","16","100","different","f"
"","","","","","image-keyboard-response","108","2.0.0","414697","pc854e34m9p","frog","2097","stimuli/39_100.jpg","j","","","true","39","100","same","j"
"","","","","","image-keyboard-response","110","2.0.0","416051","pc854e34m9p","frog","1096","stimuli/41_0.jpg","j","","","true","41","0","same","j"
"","","","","","image-keyboard-response","112","2.0.0","418220","pc854e34m9p","frog","1910","stimuli/30_50_R.jpg","f","","","true","30","50","different","f"
"","","","","","image-keyboard-response","114","2.0.0","420916","pc854e34m9p","frog","2437","stimuli/9_100.jpg","j","","","true","9","100","same","j"
"","","","","","image-keyboard-response","116","2.0.0","423874","pc854e34m9p","frog","2700","stimuli/40_50.jpg","j","","","true","40","50","same","j"
"","","","","","image-keyboard-response","118","2.0.0","426431","pc854e34m9p","frog","2299","stimuli/13_150.jpg","j","","","true","13","150","same","j"
"","","","","","image-keyboard-response","120","2.0.0","428747","pc854e34m9p","frog","2058","stimuli/23_150_R.jpg","f","","","true","23","150","different","f"
"","","","","","image-keyboard-response","122","2.0.0","432728","pc854e34m9p","frog","3723","stimuli/32_150.jpg","j","","","true","32","150","same","j"
"","","","","","image-keyboard-response","124","2.0.0","435019","pc854e34m9p","frog","2033","stimuli/20_100.jpg","j","","","true","20","100","same","j"
"","","","","","image-keyboard-response","126","2.0.0","437149","pc854e34m9p","frog","1872","stimuli/19_50_R.jpg","j","","","false","19","50","different","f"
"","","","","","html-keyboard-response","127","2.0.0","438409","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","128","2.0.0","440771","pc854e34m9p","frog","2360","stimuli/21_150.jpg","j","","","true","21","150","same","j"
"","","","","","image-keyboard-response","130","2.0.0","442514","pc854e34m9p","frog","1485","stimuli/6_50_R.jpg","f","","","true","6","50","different","f"
"","","","","","image-keyboard-response","132","2.0.0","444362","pc854e34m9p","frog","1591","stimuli/38_0_R.jpg","j","","","false","38","0","different","f"
"","","","","","html-keyboard-response","133","2.0.0","445620","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","134","2.0.0","450576","pc854e34m9p","frog","4955","You may now take a brief break before the next block. Press any key to continue."," ","","","","","","",""
"","","","","","image-keyboard-response","135","2.0.0","455179","pc854e34m9p","frog","4602","stimuli/23_150.jpg","j","","","true","23","150","same","j"
"","","","","","image-keyboard-response","137","2.0.0","456900","pc854e34m9p","frog","1348","stimuli/36_0.jpg","j","","","true","36","0","same","j"
"","","","","","image-keyboard-response","139","2.0.0","459639","pc854e34m9p","frog","2368","stimuli/33_150_R.jpg","f","","","true","33","150","different","f"
"","","","","","image-keyboard-response","141","2.0.0","462517","pc854e34m9p","frog","2505","stimuli/12_50.jpg","j","","","true","12","50","same","j"
"","","","","","image-keyboard-response","143","2.0.0","464795","pc854e34m9p","frog","1906","stimuli/24_100.jpg","j","","","true","24","100","same","j"
"","","","","","image-keyboard-response","145","2.0.0","467264","pc854e34m9p","frog","2096","stimuli/48_50.jpg","j","","","true","48","50","same","j"
"","","","","","image-keyboard-response","147","2.0.0","475138","pc854e34m9p","frog","null","stimuli/19_150_R.jpg","null","","","false","19","150","different","f"
"","","","","","html-keyboard-response","148","2.0.0","476511","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","149","2.0.0","478169","pc854e34m9p","frog","1657","stimuli/20_0_R.jpg","j","","","false","20","0","different","f"
"","","","","","html-keyboard-response","150","2.0.0","479542","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","151","2.0.0","481768","pc854e34m9p","frog","2223","stimuli/31_150_R.jpg","f","","","true","31","150","different","f"
"","","","","","image-keyboard-response","153","2.0.0","484779","pc854e34m9p","frog","2639","stimuli/44_50.jpg","j","","","true","44","50","same","j"
"","","","","","image-keyboard-response","155","2.0.0","487740","pc854e34m9p","frog","2590","stimuli/13_100_R.jpg","j","","","false","13","100","different","f"
"","","","","","html-keyboard-response","156","2.0.0","489113","pc854e34m9p","frog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","157","2.0.0","490492","pc854e34m9p","frog","1376","stimuli/11_0.jpg","j","","","true","11","0","same","j"
"","","","","","image-keyboard-response","159","2.0.0","492135","pc854e34m9p","frog","1270","stimuli/16_50.jpg","j","","","true","16","50","same","j"
