"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","14666","pdkugtda0fc","fox","","","","","","","","","",""
"true","","","","","fullscreen","1","null","34504","pdkugtda0fc","fox","18835","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","35156","pdkugtda0fc","fox","650","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","37795","pdkugtda0fc","fox","2634","","{""participant_id"":""fox""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","46719","pdkugtda0fc","fox","8922","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","64435","pdkugtda0fc","fox","17712","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","67697","pdkugtda0fc","fox","3260","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","76472","pdkugtda0fc","fox","8773","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","8","null","89854","pdkugtda0fc","fox","13379","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","91918","pdkugtda0fc","fox","2062","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","93556","pdkugtda0fc","fox","1636","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","11","null","111221","pdkugtda0fc","fox","17662","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","111977","pdkugtda0fc","fox","755","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","127546","pdkugtda0fc","fox","15567","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","14","null","153503","pdkugtda0fc","fox","25955","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","154627","pdkugtda0fc","fox","1123","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","155570","pdkugtda0fc","fox","941","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","159573","pdkugtda0fc","fox","4001","<img src=""stimuli/2_0.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","19","2.0.0","160576","pdkugtda0fc","fox","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","161542","pdkugtda0fc","fox","713","<img src=""stimuli/2_50_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","21","2.0.0","162544","pdkugtda0fc","fox","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","22","2.0.0","164190","pdkugtda0fc","fox","1393","<img src=""stimuli/1_50.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","23","2.0.0","165193","pdkugtda0fc","fox","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","24","2.0.0","166349","pdkugtda0fc","fox","904","<img src=""stimuli/2_100.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","25","2.0.0","167351","pdkugtda0fc","fox","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","168219","pdkugtda0fc","fox","614","<img src=""stimuli/1_100_R.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","27","2.0.0","169221","pdkugtda0fc","fox","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","171334","pdkugtda0fc","fox","1860","<img src=""stimuli/1_0_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","29","2.0.0","172337","pdkugtda0fc","fox","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","174069","pdkugtda0fc","fox","1479","<img src=""stimuli/1_150.jpg"">","f","","j","false","","","",""
"","","","","","html-keyboard-response","31","2.0.0","175072","pdkugtda0fc","fox","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","32","2.0.0","176790","pdkugtda0fc","fox","1466","<img src=""stimuli/2_150_R.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","33","2.0.0","177793","pdkugtda0fc","fox","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","34","2.0.0","181547","pdkugtda0fc","fox","3501","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin."," ","","","","","","",""
"","","","","","image-keyboard-response","35","2.0.0","183540","pdkugtda0fc","fox","1989","stimuli/35_50_R.jpg","f","","","true","35","50","different","f"
"","","","","","image-keyboard-response","37","2.0.0","187495","pdkugtda0fc","fox","3474","stimuli/24_100_R.jpg","f","","","true","24","100","different","f"
"","","","","","image-keyboard-response","39","2.0.0","190345","pdkugtda0fc","fox","2368","stimuli/4_50.jpg","j","","","true","4","50","same","j"
"","","","","","image-keyboard-response","41","2.0.0","192433","pdkugtda0fc","fox","1607","stimuli/4_0_R.jpg","j","","","false","4","0","different","f"
"","","","","","html-keyboard-response","42","2.0.0","193917","pdkugtda0fc","fox","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","43","2.0.0","194327","pdkugtda0fc","fox","408","stimuli/29_100_R.jpg","f","","","true","29","100","different","f"
"","","","","","image-keyboard-response","45","2.0.0","197367","pdkugtda0fc","fox","2558","stimuli/23_100.jpg","f","","","false","23","100","same","j"
