"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","4890","peysfwhvvjd","mouse","","","","","","","","","",""
"true","","","","","fullscreen","1","null","6907","peysfwhvvjd","mouse","1015","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","7816","peysfwhvvjd","mouse","907","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","9236","peysfwhvvjd","mouse","1416","","{""participant_id"":""mouse""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","17357","peysfwhvvjd","mouse","8120","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","34591","peysfwhvvjd","mouse","17232","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Focus only on accuracy.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","36578","peysfwhvvjd","mouse","1984","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","42023","peysfwhvvjd","mouse","5444","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","8","null","63607","peysfwhvvjd","mouse","21581","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","68269","peysfwhvvjd","mouse","4661","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","69315","peysfwhvvjd","mouse","1045","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","76234","peysfwhvvjd","mouse","6918","<img src=""stimuli/1_50.jpg"">","f","","j","false","","","",""
"","","","","","html-keyboard-response","13","2.0.0","77237","peysfwhvvjd","mouse","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","14","2.0.0","84690","peysfwhvvjd","mouse","7199","<img src=""stimuli/2_150_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","15","2.0.0","85692","peysfwhvvjd","mouse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","90023","peysfwhvvjd","mouse","4078","<img src=""stimuli/2_100.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","17","2.0.0","91025","peysfwhvvjd","mouse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","95342","peysfwhvvjd","mouse","4065","<img src=""stimuli/1_150.jpg"">","f","","j","false","","","",""
"","","","","","html-keyboard-response","19","2.0.0","96344","peysfwhvvjd","mouse","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","99751","peysfwhvvjd","mouse","3154","<img src=""stimuli/2_0.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","21","2.0.0","100752","peysfwhvvjd","mouse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","22","2.0.0","104206","peysfwhvvjd","mouse","3202","<img src=""stimuli/1_0_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","23","2.0.0","105208","peysfwhvvjd","mouse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","24","2.0.0","107990","peysfwhvvjd","mouse","2529","<img src=""stimuli/2_50_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","25","2.0.0","108992","peysfwhvvjd","mouse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","112885","peysfwhvvjd","mouse","3639","<img src=""stimuli/1_100_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","27","2.0.0","113886","peysfwhvvjd","mouse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","117854","peysfwhvvjd","mouse","3715","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin."," ","","","","","","",""
"","","","","","image-keyboard-response","29","2.0.0","120902","peysfwhvvjd","mouse","3045","stimuli/6_100_R.jpg","f","","","true","6","100","different","f"
"","","","","","image-keyboard-response","31","2.0.0","125211","peysfwhvvjd","mouse","3907","stimuli/13_50.jpg","j","","","true","13","50","same","j"
"","","","","","image-keyboard-response","33","2.0.0","128464","peysfwhvvjd","mouse","2852","stimuli/36_150_R.jpg","f","","","true","36","150","different","f"
"","","","","","image-keyboard-response","35","2.0.0","132190","peysfwhvvjd","mouse","3325","stimuli/10_50.jpg","j","","","true","10","50","same","j"
