"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","224","pg7v0dptn63","hedgehog","","","","","","","","","",""
"true","","","","","fullscreen","1","null","2123","pg7v0dptn63","hedgehog","897","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","3000","pg7v0dptn63","hedgehog","875","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","6794","pg7v0dptn63","hedgehog","3791","","{""participant_id"":""hedgehog""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","19916","pg7v0dptn63","hedgehog","13121","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","63746","pg7v0dptn63","hedgehog","43827","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","65386","pg7v0dptn63","hedgehog","1639","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","68956","pg7v0dptn63","hedgehog","3568","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","69819","pg7v0dptn63","hedgehog","862","<img src=""stimuli/1_0_R.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","10","2.0.0","70820","pg7v0dptn63","hedgehog","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","71852","pg7v0dptn63","hedgehog","779","<img src=""stimuli/2_0.jpg"">","j","","j","true","","","",""
