"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","11527","po14j60ucub","hamster","","","","","","","","","",""
"true","","","","","fullscreen","1","null","15515","po14j60ucub","hamster","2972","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","17248","po14j60ucub","hamster","1729","Welcome to the experiment. Press any key to begin.","Enter","","","","","","",""
"","","","","","survey-text","3","2.0.0","20538","po14j60ucub","hamster","3283","","{""participant_id"":""hamster""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","30476","po14j60ucub","hamster","9936","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","Enter","","","","","","",""
"","","","","","survey-multi-choice","5","null","50625","po14j60ucub","hamster","20145","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","52426","po14j60ucub","hamster","1797","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>","Enter","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","68686","po14j60ucub","hamster","16260","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","Enter","","","","","","",""
"","","","","","survey-multi-choice","8","null","80425","po14j60ucub","hamster","11736","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","81546","po14j60ucub","hamster","1118","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>","Enter","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","99646","po14j60ucub","hamster","18098","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","Enter","","","","","","",""
"","","","","","survey-multi-choice","11","null","22132483","po14j60ucub","hamster","22032834","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","22134548","po14j60ucub","hamster","2062","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>","Enter","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","22144989","po14j60ucub","hamster","10438","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","'","","","","","","",""
"","","","","","survey-multi-choice","14","null","22157759","po14j60ucub","hamster","12766","","{""same_definition"":""The objects are completely different objects."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","22159310","po14j60ucub","hamster","1549","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>",";","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","22160109","po14j60ucub","hamster","797","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","]","","","","","","",""
"","","","","","survey-multi-choice","17","null","22169874","po14j60ucub","hamster","9761","","{""same_definition"":""The objects are the same size."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","22171390","po14j60ucub","hamster","1514","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>","Enter","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","22188639","po14j60ucub","hamster","17248","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","Enter","","","","","","",""
"","","","","","survey-multi-choice","20","null","22203743","po14j60ucub","hamster","15096","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","22205239","po14j60ucub","hamster","1494","<p><font color='green'>All correct! Press any key to continue.</font></p>","Enter","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","22207858","po14j60ucub","hamster","2619","There will be 8 practice trials before the real experiment. Press any key to begin.","Enter","","","","","","",""
"","","","","","html-keyboard-response","24","2.0.0","22213830","po14j60ucub","hamster","5970","<img src=""stimuli/2_0.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","25","2.0.0","22214836","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","22218220","po14j60ucub","hamster","3118","<img src=""stimuli/2_100.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","27","2.0.0","22219230","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","22222871","po14j60ucub","hamster","3373","<img src=""stimuli/2_150_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","29","2.0.0","22223884","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","22230013","po14j60ucub","hamster","5871","<img src=""stimuli/1_100_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","31","2.0.0","22231019","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","32","2.0.0","22235480","po14j60ucub","hamster","4204","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","33","2.0.0","22236491","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","34","2.0.0","22238390","po14j60ucub","hamster","1632","<img src=""stimuli/1_50.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","35","2.0.0","22239395","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","36","2.0.0","22244460","po14j60ucub","hamster","4808","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","37","2.0.0","22245471","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","38","2.0.0","22248920","po14j60ucub","hamster","3187","<img src=""stimuli/1_150.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","39","2.0.0","22249935","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","40","2.0.0","22256021","po14j60ucub","hamster","5819","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin."," ","","","","","","",""
"","","","","","image-keyboard-response","41","2.0.0","22260660","po14j60ucub","hamster","4636","stimuli/18_150.jpg","f","","","true","18","150","same","f"
"","","","","","image-keyboard-response","43","2.0.0","22266920","po14j60ucub","hamster","5865","stimuli/17_0.jpg","f","","","true","17","0","same","f"
"","","","","","image-keyboard-response","45","2.0.0","22268780","po14j60ucub","hamster","1470","stimuli/43_50_R.jpg","j","","","true","43","50","different","j"
"","","","","","image-keyboard-response","47","2.0.0","22273972","po14j60ucub","hamster","4788","stimuli/14_150_R.jpg","f","","","false","14","150","different","j"
"","","","","","html-keyboard-response","48","2.0.0","22275372","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","49","2.0.0","22276994","po14j60ucub","hamster","1620","stimuli/27_50_R.jpg","j","","","true","27","50","different","j"
"","","","","","image-keyboard-response","51","2.0.0","22282401","po14j60ucub","hamster","5012","stimuli/39_150.jpg","f","","","true","39","150","same","f"
"","","","","","image-keyboard-response","53","2.0.0","22284780","po14j60ucub","hamster","1985","stimuli/38_50.jpg","f","","","true","38","50","same","f"
"","","","","","image-keyboard-response","55","2.0.0","22287301","po14j60ucub","hamster","2125","stimuli/8_100_R.jpg","j","","","true","8","100","different","j"
"","","","","","image-keyboard-response","57","2.0.0","22295181","po14j60ucub","hamster","7475","stimuli/31_150.jpg","f","","","true","31","150","same","f"
"","","","","","image-keyboard-response","59","2.0.0","22303097","po14j60ucub","hamster","null","stimuli/21_100_R.jpg","null","","","false","21","100","different","j"
"","","","","","html-keyboard-response","60","2.0.0","22304507","po14j60ucub","hamster","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
