"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","6207","poop2on536j","alpaca","","","","","","","","","",""
"true","","","","","fullscreen","1","null","8922","poop2on536j","alpaca","1709","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","10491","poop2on536j","alpaca","1567","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","12687","poop2on536j","alpaca","2191","","{""participant_id"":""alpaca""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","49400","poop2on536j","alpaca","36710","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are the same, press <strong>F</strong>.</p>
      <p>If the two objects are different, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","79350","poop2on536j","alpaca","29947","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","81260","poop2on536j","alpaca","1907","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","88388","poop2on536j","alpaca","7127","There will be 8 practice trials before the real experiment. Press any key to begin.","f","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","95008","poop2on536j","alpaca","6617","<img src=""stimuli/2_150_R.jpg"">","f","","j","false","","","",""
"","","","","","html-keyboard-response","10","2.0.0","96012","poop2on536j","alpaca","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","98123","poop2on536j","alpaca","1858","<img src=""stimuli/2_0.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","12","2.0.0","99125","poop2on536j","alpaca","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","101391","poop2on536j","alpaca","2012","<img src=""stimuli/1_0_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","14","2.0.0","102394","poop2on536j","alpaca","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","104087","poop2on536j","alpaca","1440","<img src=""stimuli/1_100_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","16","2.0.0","105089","poop2on536j","alpaca","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","107888","poop2on536j","alpaca","2546","<img src=""stimuli/1_150.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","18","2.0.0","108891","poop2on536j","alpaca","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","114213","poop2on536j","alpaca","5070","<img src=""stimuli/2_100.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","20","2.0.0","115216","poop2on536j","alpaca","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","119327","poop2on536j","alpaca","3859","<img src=""stimuli/1_50.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","22","2.0.0","120330","poop2on536j","alpaca","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","122607","poop2on536j","alpaca","2025","<img src=""stimuli/2_50_R.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","24","2.0.0","123610","poop2on536j","alpaca","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","128313","poop2on536j","alpaca","4450","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin.","f","","","","","","",""
"","","","","","image-keyboard-response","26","2.0.0","133847","poop2on536j","alpaca","5528","stimuli/31_100_R.jpg","j","","","true","31","100","different","j"
"","","","","","image-keyboard-response","28","2.0.0","137234","poop2on536j","alpaca","2984","stimuli/21_50_R.jpg","f","","","false","21","50","different","j"
"","","","","","html-keyboard-response","29","2.0.0","138638","poop2on536j","alpaca","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","30","2.0.0","142843","poop2on536j","alpaca","4203","stimuli/1_100.jpg","f","","","true","1","100","same","f"
