"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","4243","poub57qlzeu","raccoon","","","","","","","","","",""
"true","","","","","fullscreen","1","null","9759","poub57qlzeu","raccoon","4510","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","11618","poub57qlzeu","raccoon","1857","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","18888","poub57qlzeu","raccoon","7265","","{""participant_id"":""raccoon""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","31000","poub57qlzeu","raccoon","12111","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","57589","poub57qlzeu","raccoon","26585","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","59672","poub57qlzeu","raccoon","2081","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","61930","poub57qlzeu","raccoon","2257","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","68613","poub57qlzeu","raccoon","6681","<img src=""stimuli/2_150_R.jpg"">","j","","f","false","","","",""
"","","","","","html-keyboard-response","10","2.0.0","69616","poub57qlzeu","raccoon","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
