"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","6297","psp2zgdjtk7","panda","","","","","","","","","",""
"true","","","","","fullscreen","1","null","12968","psp2zgdjtk7","panda","5667","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","14185","psp2zgdjtk7","panda","1214","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","17002","psp2zgdjtk7","panda","2813","","{""participant_id"":""panda""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","39503","psp2zgdjtk7","panda","22500","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","72815","psp2zgdjtk7","panda","33308","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","75942","psp2zgdjtk7","panda","3126","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","94250","psp2zgdjtk7","panda","18306","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","8","null","116763","psp2zgdjtk7","panda","22510","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","118721","psp2zgdjtk7","panda","1956","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","131027","psp2zgdjtk7","panda","12305","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","11","null","163397","psp2zgdjtk7","panda","32367","","{""same_definition"":""The objects are the same size."",""different_definition"":""The objects are different sizes."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","165713","psp2zgdjtk7","panda","2314","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","180915","psp2zgdjtk7","panda","15200","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","14","null","203996","psp2zgdjtk7","panda","23078","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","205874","psp2zgdjtk7","panda","1876","<p><font color='green'>All correct! Press any key to continue.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","207689","psp2zgdjtk7","panda","1814","There will be 8 practice trials before the real experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","214671","psp2zgdjtk7","panda","6980","<img src=""stimuli/1_100_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","19","2.0.0","215674","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","219914","psp2zgdjtk7","panda","3987","<img src=""stimuli/2_50_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","21","2.0.0","220917","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","22","2.0.0","225983","psp2zgdjtk7","panda","4813","<img src=""stimuli/2_150_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","23","2.0.0","226986","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","24","2.0.0","230191","psp2zgdjtk7","panda","2953","<img src=""stimuli/1_0_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","25","2.0.0","231193","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","233896","psp2zgdjtk7","panda","2450","<img src=""stimuli/1_150.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","27","2.0.0","234899","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","237554","psp2zgdjtk7","panda","2402","<img src=""stimuli/2_100.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","29","2.0.0","238557","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","241639","psp2zgdjtk7","panda","2828","<img src=""stimuli/1_50.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","31","2.0.0","242641","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","32","2.0.0","244669","psp2zgdjtk7","panda","1775","<img src=""stimuli/2_0.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","33","2.0.0","245671","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","34","2.0.0","250576","psp2zgdjtk7","panda","4652","We will now begin the real experiment. Unlike the practice, feedback will only appear for incorrect answers, and trials will time out if you take too long. Press any key to begin."," ","","","","","","",""
"","","","","","image-keyboard-response","35","2.0.0","252822","psp2zgdjtk7","panda","2241","stimuli/12_150.jpg","f","","","false","12","150","same","j"
"","","","","","html-keyboard-response","36","2.0.0","254123","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","37","2.0.0","257039","psp2zgdjtk7","panda","2913","stimuli/5_100_R.jpg","f","","","true","5","100","different","f"
"","","","","","image-keyboard-response","39","2.0.0","260314","psp2zgdjtk7","panda","2973","stimuli/27_0_R.jpg","f","","","true","27","0","different","f"
"","","","","","image-keyboard-response","41","2.0.0","262231","psp2zgdjtk7","panda","1616","stimuli/22_0_R.jpg","f","","","true","22","0","different","f"
"","","","","","image-keyboard-response","43","2.0.0","264006","psp2zgdjtk7","panda","1472","stimuli/12_100.jpg","j","","","true","12","100","same","j"
"","","","","","image-keyboard-response","45","2.0.0","266054","psp2zgdjtk7","panda","1748","stimuli/18_150_R.jpg","f","","","true","18","150","different","f"
"","","","","","image-keyboard-response","47","2.0.0","268824","psp2zgdjtk7","panda","2468","stimuli/35_50.jpg","j","","","true","35","50","same","j"
"","","","","","image-keyboard-response","49","2.0.0","270811","psp2zgdjtk7","panda","1685","stimuli/26_100_R.jpg","f","","","true","26","100","different","f"
"","","","","","image-keyboard-response","51","2.0.0","272352","psp2zgdjtk7","panda","1240","stimuli/10_0.jpg","j","","","true","10","0","same","j"
"","","","","","image-keyboard-response","53","2.0.0","275064","psp2zgdjtk7","panda","2411","stimuli/9_100.jpg","j","","","true","9","100","same","j"
"","","","","","image-keyboard-response","55","2.0.0","276547","psp2zgdjtk7","panda","1180","stimuli/29_50_R.jpg","f","","","true","29","50","different","f"
"","","","","","image-keyboard-response","57","2.0.0","278169","psp2zgdjtk7","panda","1321","stimuli/43_50_R.jpg","f","","","true","43","50","different","f"
"","","","","","image-keyboard-response","59","2.0.0","280370","psp2zgdjtk7","panda","1900","stimuli/46_100_R.jpg","j","","","false","46","100","different","f"
"","","","","","html-keyboard-response","60","2.0.0","281673","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","61","2.0.0","283383","psp2zgdjtk7","panda","1708","stimuli/42_100.jpg","f","","","false","42","100","same","j"
"","","","","","html-keyboard-response","62","2.0.0","284685","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","63","2.0.0","287258","psp2zgdjtk7","panda","2571","stimuli/29_100.jpg","f","","","false","29","100","same","j"
"","","","","","html-keyboard-response","64","2.0.0","288560","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","65","2.0.0","290371","psp2zgdjtk7","panda","1808","stimuli/11_150_R.jpg","f","","","true","11","150","different","f"
"","","","","","image-keyboard-response","67","2.0.0","292145","psp2zgdjtk7","panda","1473","stimuli/16_100.jpg","j","","","true","16","100","same","j"
"","","","","","image-keyboard-response","69","2.0.0","294169","psp2zgdjtk7","panda","1722","stimuli/33_0_R.jpg","f","","","true","33","0","different","f"
"","","","","","image-keyboard-response","71","2.0.0","297030","psp2zgdjtk7","panda","2559","stimuli/18_100.jpg","j","","","true","18","100","same","j"
"","","","","","image-keyboard-response","73","2.0.0","299123","psp2zgdjtk7","panda","1792","stimuli/20_100_R.jpg","f","","","true","20","100","different","f"
"","","","","","image-keyboard-response","75","2.0.0","301500","psp2zgdjtk7","panda","2075","stimuli/27_150.jpg","f","","","false","27","150","same","j"
"","","","","","html-keyboard-response","76","2.0.0","302802","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","77","2.0.0","304442","psp2zgdjtk7","panda","1637","stimuli/11_50.jpg","j","","","true","11","50","same","j"
"","","","","","image-keyboard-response","79","2.0.0","306438","psp2zgdjtk7","panda","1696","stimuli/13_150_R.jpg","f","","","true","13","150","different","f"
"","","","","","image-keyboard-response","81","2.0.0","308684","psp2zgdjtk7","panda","1944","stimuli/23_150_R.jpg","f","","","true","23","150","different","f"
"","","","","","image-keyboard-response","83","2.0.0","310058","psp2zgdjtk7","panda","1073","stimuli/1_50_R.jpg","f","","","true","1","50","different","f"
"","","","","","image-keyboard-response","85","2.0.0","311285","psp2zgdjtk7","panda","925","stimuli/8_0.jpg","j","","","true","8","0","same","j"
"","","","","","image-keyboard-response","87","2.0.0","314129","psp2zgdjtk7","panda","2542","stimuli/34_50.jpg","j","","","true","34","50","same","j"
"","","","","","image-keyboard-response","89","2.0.0","316133","psp2zgdjtk7","panda","1703","stimuli/33_50.jpg","j","","","true","33","50","same","j"
"","","","","","image-keyboard-response","91","2.0.0","317593","psp2zgdjtk7","panda","1159","stimuli/33_50_R.jpg","f","","","true","33","50","different","f"
"","","","","","image-keyboard-response","93","2.0.0","319678","psp2zgdjtk7","panda","1783","stimuli/29_0_R.jpg","j","","","false","29","0","different","f"
"","","","","","html-keyboard-response","94","2.0.0","320980","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","95","2.0.0","322242","psp2zgdjtk7","panda","1260","stimuli/22_50.jpg","j","","","true","22","50","same","j"
"","","","","","image-keyboard-response","97","2.0.0","323666","psp2zgdjtk7","panda","1122","stimuli/26_0_R.jpg","f","","","true","26","0","different","f"
"","","","","","image-keyboard-response","99","2.0.0","325168","psp2zgdjtk7","panda","1201","stimuli/46_150.jpg","f","","","false","46","150","same","j"
"","","","","","html-keyboard-response","100","2.0.0","326471","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","101","2.0.0","327622","psp2zgdjtk7","panda","1149","stimuli/11_0.jpg","j","","","true","11","0","same","j"
"","","","","","image-keyboard-response","103","2.0.0","329364","psp2zgdjtk7","panda","1440","stimuli/33_100_R.jpg","j","","","false","33","100","different","f"
"","","","","","html-keyboard-response","104","2.0.0","330666","psp2zgdjtk7","panda","null","<p style=""font-size: 50px; color: red;"">Incorrect</p>","null","","","","","","",""
"","","","","","image-keyboard-response","105","2.0.0","331710","psp2zgdjtk7","panda","1043","stimuli/8_100_R.jpg","f","","","true","8","100","different","f"
"","","","","","image-keyboard-response","107","2.0.0","332888","psp2zgdjtk7","panda","876","stimuli/28_0.jpg","j","","","true","28","0","same","j"
