"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","4706","puzrs8qr737","pony","","","","","","","","","",""
"true","","","","","fullscreen","1","null","19546","puzrs8qr737","pony","13837","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","28754","puzrs8qr737","pony","9205","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","32818","puzrs8qr737","pony","4045","","{""participant_id"":""pony""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","50989","puzrs8qr737","pony","18169","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","5","null","72343","puzrs8qr737","pony","21361","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","75396","puzrs8qr737","pony","3053","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","79440","puzrs8qr737","pony","4047","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
"","","","","","survey-multi-choice","8","null","89097","puzrs8qr737","pony","9662","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The objects are physically identical but presented at a different orientation."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","92665","puzrs8qr737","pony","3568","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>"," ","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","105330","puzrs8qr737","pony","12666","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    "," ","","","","","","",""
