"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","question_order","correct_key","correct","object_num","angle","correct_response","correct_response_key"
"true","false","[]","[]","[]","preload","0","2.0.0","1110","pygg7ce7cc6","horse","","","","","","","","","",""
"true","","","","","fullscreen","1","null","3562","pygg7ce7cc6","horse","1443","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","5249","pygg7ce7cc6","horse","1685","Welcome to the experiment. Press any key to begin.","f","","","","","","",""
"","","","","","survey-text","3","2.0.0","7849","pygg7ce7cc6","horse","2590","","{""participant_id"":""horse""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","9623","pygg7ce7cc6","horse","1770","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","d","","","","","","",""
"","","","","","survey-multi-choice","5","null","23474","pygg7ce7cc6","horse","13848","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""F key"",""different_key"":""J key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","25681","pygg7ce7cc6","horse","2205","<p><font color='red'>You did not get all the questions correct. Press any key to re-read the instructions.</font></p>","d","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","30608","pygg7ce7cc6","horse","4926","
      <p>On each trial, you will see two 3D objects. The object on the left will be your <strong>baseline object</strong>. The object on the right will be the <strong>target object</strong>.</p>
      <p>These objects may be at different orientations from each other.</p> 
      <p>If the two objects are different, press <strong>F</strong>.</p>
      <p>If the two objects are the same, press <strong>J</strong>.</p>
      <p>Please respond as quickly and accurately as possible.</p>
      <p>Press any key to continue.</p>
    ","f","","","","","","",""
"","","","","","survey-multi-choice","8","null","56735","pygg7ce7cc6","horse","26124","","{""same_definition"":""The two objects are physically identical."",""different_definition"":""The two objects are physically distinct objects."",""same_key"":""J key"",""different_key"":""F key"",""speed_accuracy"":""Respond as quickly and accurately as possible.""}","[0,1,2,3,4]","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","59568","pygg7ce7cc6","horse","2830","<p><font color='green'>All correct! Press any key to continue.</font></p>","f","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","60856","pygg7ce7cc6","horse","1286","There will be 8 practice trials before the real experiment. Press any key to begin.","f","","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","66562","pygg7ce7cc6","horse","5704","<img src=""stimuli/1_0_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","13","2.0.0","67577","pygg7ce7cc6","horse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","14","2.0.0","73266","pygg7ce7cc6","horse","5426","<img src=""stimuli/2_150_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","15","2.0.0","74277","pygg7ce7cc6","horse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","79785","pygg7ce7cc6","horse","5245","<img src=""stimuli/2_50_R.jpg"">","f","","f","true","","","",""
"","","","","","html-keyboard-response","17","2.0.0","80789","pygg7ce7cc6","horse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","83548","pygg7ce7cc6","horse","2499","<img src=""stimuli/2_0.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","19","2.0.0","84555","pygg7ce7cc6","horse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","89690","pygg7ce7cc6","horse","4877","<img src=""stimuli/1_50.jpg"">","j","","j","true","","","",""
"","","","","","html-keyboard-response","21","2.0.0","90706","pygg7ce7cc6","horse","null","<p style=""font-size: 50px; color: green;"">Correct!</p>","null","","","","","","",""
